con_legis_num,legislation_number,congress_session,title,cosponsors,bill,gov_track,dc_ratio_aggregate,ratio_binary,manual_coding,URL
101_s.1182,S. 2912,101,Department of Defense Authorization Act for Fiscal Year 1991,0,1,1,,Unavailable,1,https://www.congress.gov/bill/101st-congress/senate-bill/2912?q=%7B%22search%22%3A%22Department+of+Defense+Authorization+Act+for+Fiscal+Year+1991%22%7D&s=9&r=13
101_s.1183,S. 2927,101,Export Administration Act Amendments of 1990,0,1,1,,Unavailable,1,https://www.congress.gov/bill/101st-congress/senate-bill/2927?q=%7B%22search%22%3A%22Export+Administration+Act+Amendments+Amendment+of+1990%22%7D&s=10&r=7
101_s.1184,S. 2944,101,International Affairs Authorization Act of 1990,0,1,1,,Unavailable,0,https://www.congress.gov/bill/101st-congress/senate-bill/2944?q=%7B%22search%22%3A%22s.+2944%22%7D&s=6&r=1
101_s.1185,S. 358,101,Immigration Act of 1990,4,1,1,,Unavailable,0,https://www.congress.gov/bill/101st-congress/senate-bill/358
101_s.1186,S. 928,101,Foreign Relations Authorization Act for Fiscal Year 1990,0,1,1,,Unavailable,1,https://www.congress.gov/bill/101st-congress/senate-bill/928?q=%7B%22search%22%3A%22Foreign+Relations+Authorization+Act+for+Fiscal+Year+1990%22%7D&s=2&r=3
101_s.1187,s.944,101,A bill to authorize the establishment of a United States-Taiwan Free Trade Area.,1,1,0,,Unavailable,1,https://www.congress.gov/bill/101st-congress/senate-bill/944?s=7&r=1
101_s.1188,s.amdt.107,101,,,,,,,0,                                                                                                                                                                                                                                                                                                                               ,101,S.Amdt.107 to H.Con.Res.136,3,0,0,,Unavailable,1,https://www.congress.gov/amendment/101st-congress/senate-amendment/107?s=3&r=1
101_s.1189,s.amdt.1076,101,S.Amdt.1076 to H.R.2991,0,0,0,,Unavailable,1,https://www.congress.gov/amendment/101st-congress/senate-amendment/1076?s=1&r=1&q=%7B%22search%22%3A%22s.amdt.1076%22%7D
101_s.1190,s.amdt.1126,101,S.Amdt.1126 to S.1582,0,0,0,,Unavailable,1,https://www.congress.gov/amendment/101st-congress/senate-amendment/1126?s=5&r=1
101_s.1191,s.amdt.1216,101,S.Amdt.1216 to H.R.2494,3,0,0,,Unavailable,1,https://www.congress.gov/amendment/101st-congress/senate-amendment/1216/text?s=7&r=1
101_s.1192,s.amdt.1290,101,S.Amdt.1290 to S.1430,5,0,0,,Unavailable,1,https://www.congress.gov/amendment/101st-congress/senate-amendment/1290?s=9&r=1
101_s.1193,S.Amdt.239,101,S.Amdt.239 to S.358,21,0,0,,Unavailable,1,https://www.congress.gov/amendment/101st-congress/senate-amendment/239?s=2&r=1
101_s.1194,s.amdt.241,101,S.Amdt.241 to S.358,0,0,0,,Unavailable,1,https://www.congress.gov/amendment/101st-congress/senate-amendment/241?s=4&r=1
101_s.1195,s.amdt.242,101,S.Amdt.242 to S.358,11,0,0,,Unavailable,1,https://www.congress.gov/amendment/101st-congress/senate-amendment/242?s=1&r=1
101_s.1196,s.amdt.257,101,S.Amdt.257 to S.358,5,0,0,,Unavailable,1,https://www.congress.gov/amendment/101st-congress/senate-amendment/257?s=7&r=1
101_s.1197,S.Amdt.271 ,101,S.Amdt.271 to S.1160,1,0,0,,Unavailable,1,https://www.congress.gov/amendment/101st-congress/senate-amendment/271?s=10&r=1
101_s.1198,s.amdt.284,101,S.Amdt.284 to S.1160,1,0,0,,Unavailable,1,https://www.congress.gov/amendment/101st-congress/senate-amendment/271?s=10&r=1
101_s.1199,s.amdt.285,101,S.Amdt.285 to S.1160,4,0,0,,Unavailable,1,https://www.congress.gov/amendment/101st-congress/senate-amendment/285?s=9&r=1
101_s.1200,s.amdt.297,101,S.Amdt.297 to S.1160,27,0,0,,Unavailable,1,https://www.congress.gov/amendment/101st-congress/senate-amendment/297?s=8&r=1
101_s.1201,s.amdt.298,101,S.Amdt.298 to S.Amdt.297,0,0,0,,Unavailable,1,https://www.congress.gov/amendment/101st-congress/senate-amendment/298?s=2&r=1
101_s.1202,s.amdt.306,101,S.Amdt.306 to S.1160,1,0,0,,Unavailable,1,https://www.congress.gov/amendment/101st-congress/senate-amendment/306?s=7&r=1
101_s.1203,s.amdt.309,101,S.Amdt.309 to S.1160,1,0,0,,Unavailable,1,https://www.congress.gov/amendment/101st-congress/senate-amendment/309?s=1&r=1
101_s.1204,s.amdt.318,101,S.Amdt.318 to S.1160,1,0,0,,Unavailable,1,https://www.congress.gov/amendment/101st-congress/senate-amendment/318?s=6&r=1
101_s.1205,s.amdt.320,101,S.Amdt.320 to S.1160,0,0,0,,Unavailable,1,https://www.congress.gov/amendment/101st-congress/senate-amendment/320?s=9&r=1
101_s.1206,s.amdt.324,101,S.Amdt.324 to S.1160,7,0,0,,Unavailable,1,https://www.congress.gov/amendment/101st-congress/senate-amendment/324?s=2&r=1
101_s.1207,s.amdt.331,101,S.Amdt.331 to S.1160,13,0,0,,Unavailable,1,https://www.congress.gov/amendment/101st-congress/senate-amendment/331?s=7&r=1
